"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31328","mdmprint.ru - Проверка поиска","Mobile Chrome","2026-04-01","passed","2026-04-01","Проверка доступности сайтов > mdmprint.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","23457","mdmprint.ru - Проверка меню каталога","Mobile Chrome","2026-04-01","passed","2026-04-01","Проверка доступности сайтов > mdmprint.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","16088","litera.studio - Проверка главной страницы","Desktop Chrome","2026-04-01","passed","2026-04-01","Проверка доступности сайтов > litera.studio - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","13480","litera.studio - Проверка поп-апа ""Оставьте заявку""","Desktop Chrome","2026-04-01","passed","2026-04-01","Проверка доступности сайтов > litera.studio - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","6258","1-tm.ru - Проверка бургер-меню","Mobile Chrome","2026-04-01","passed","2026-04-01","Проверка доступности сайтов > 1-tm.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","13030","litera.studio - Проверка поп-апа ""Оставьте заявку""","Mobile Chrome","2026-04-01","passed","2026-04-01","Проверка доступности сайтов > litera.studio - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","22724","copy.ru - Проверка поиска","Mobile Chrome","2026-04-01","passed","2026-04-01","Проверка доступности сайтов > copy.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","28594","litera.studio - Проверка поиска","Desktop Chrome","2026-04-01","passed","2026-04-01","Проверка доступности сайтов > litera.studio - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","16847","copy.ru - Проверка поиска","Desktop Chrome","2026-04-01","passed","2026-04-01","Проверка доступности сайтов > copy.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","6066","1-tm.ru - Проверка бургер-меню","Desktop Chrome","2026-04-01","passed","2026-04-01","Проверка доступности сайтов > 1-tm.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","20109","mdmprint.ru - Проверка поп-апа ""Быстрый заказ""","Desktop Chrome","2026-04-01","passed","2026-04-01","Проверка доступности сайтов > mdmprint.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","11457","copy.ru - Проверка главной страницы","Desktop Chrome","2026-04-01","passed","2026-04-01","Проверка доступности сайтов > copy.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","19003","mdmprint.ru - Проверка поп-апа ""Быстрый заказ""","Mobile Chrome","2026-04-01","passed","2026-04-01","Проверка доступности сайтов > mdmprint.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","13033","copy.ru - Проверка главной страницы","Mobile Chrome","2026-04-01","passed","2026-04-01","Проверка доступности сайтов > copy.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","22382","mdmprint.ru - Проверка главной страницы","Mobile Chrome","2026-04-01","passed","2026-04-01","Проверка доступности сайтов > mdmprint.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","10468","copy.ru - Проверка поп-апа ""Быстрый заказ""","Mobile Chrome","2026-04-01","passed","2026-04-01","Проверка доступности сайтов > copy.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","6939","1-tm.ru - Проверка главной страницы","Desktop Chrome","2026-04-01","passed","2026-04-01","Проверка доступности сайтов > 1-tm.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","12343","copy.ru - Проверка меню каталога","Mobile Chrome","2026-04-01","passed","2026-04-01","Проверка доступности сайтов > copy.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","13554","litera.studio - Проверка бургер-меню","Desktop Chrome","2026-04-01","passed","2026-04-01","Проверка доступности сайтов > litera.studio - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","17306","litera.studio - Проверка главной страницы","Mobile Chrome","2026-04-01","passed","2026-04-01","Проверка доступности сайтов > litera.studio - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","4857","vea.ru - Проверка поп-апа ""Оставьте заявку""","Mobile Chrome","2026-04-01","passed","2026-04-01","Проверка доступности сайтов > vea.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","5903","sequoiapay.io - Проверка главной страницы","Mobile Chrome","2026-04-01","passed","2026-04-01","Проверка доступности сайтов > sequoiapay.io - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","4969","vea.ru - Проверка поп-апа ""Оставьте заявку""","Desktop Chrome","2026-04-01","passed","2026-04-01","Проверка доступности сайтов > vea.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","5008","vea.ru - Проверка меню услуг","Desktop Chrome","2026-04-01","passed","2026-04-01","Проверка доступности сайтов > vea.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","10833","copy.ru - Проверка меню каталога","Desktop Chrome","2026-04-01","passed","2026-04-01","Проверка доступности сайтов > copy.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","6493","vea.ru - Проверка главной страницы","Desktop Chrome","2026-04-01","passed","2026-04-01","Проверка доступности сайтов > vea.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","4191","sequoiapay.io - Проверка главной страницы","Desktop Chrome","2026-04-01","passed","2026-04-01","Проверка доступности сайтов > sequoiapay.io - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","10091","1-tm.ru - Проверка поиска","Desktop Chrome","2026-04-01","passed","2026-04-01","Проверка доступности сайтов > 1-tm.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","5043","vea.ru - Проверка меню услуг","Mobile Chrome","2026-04-01","passed","2026-04-01","Проверка доступности сайтов > vea.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","19189","litera.studio - Проверка поиска","Mobile Chrome","2026-04-01","passed","2026-04-01","Проверка доступности сайтов > litera.studio - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","4586","1-tm.ru - Проверка поп-апа ""Онлайн-консультация""","Desktop Chrome","2026-04-01","passed","2026-04-01","Проверка доступности сайтов > 1-tm.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","23218","mdmprint.ru - Проверка меню каталога","Desktop Chrome","2026-04-01","passed","2026-04-01","Проверка доступности сайтов > mdmprint.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","4724","1-tm.ru - Проверка поп-апа ""Онлайн-консультация""","Mobile Chrome","2026-04-01","passed","2026-04-01","Проверка доступности сайтов > 1-tm.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","9025","copy.ru - Проверка поп-апа ""Быстрый заказ""","Desktop Chrome","2026-04-01","passed","2026-04-01","Проверка доступности сайтов > copy.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","30132","mdmprint.ru - Проверка поиска","Desktop Chrome","2026-04-01","passed","2026-04-01","Проверка доступности сайтов > mdmprint.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","24097","mdmprint.ru - Проверка главной страницы","Desktop Chrome","2026-04-01","passed","2026-04-01","Проверка доступности сайтов > mdmprint.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","13374","litera.studio - Проверка бургер-меню","Mobile Chrome","2026-04-01","passed","2026-04-01","Проверка доступности сайтов > litera.studio - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","7634","1-tm.ru - Проверка главной страницы","Mobile Chrome","2026-04-01","passed","2026-04-01","Проверка доступности сайтов > 1-tm.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","6151","vea.ru - Проверка главной страницы","Mobile Chrome","2026-04-01","passed","2026-04-01","Проверка доступности сайтов > vea.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","9752","1-tm.ru - Проверка поиска","Mobile Chrome","2026-04-01","passed","2026-04-01","Проверка доступности сайтов > 1-tm.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
